"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"金隅·望京云尚","朝阳区","3室4室","138-167㎡","84555","看房津贴 一房一价 车位充足 全景飘窗 "
"广阳郡九号","房山区","3室","166㎡","50000","看房津贴 车位充足 高绿化率 学校 "
"恒大上和府","顺义区","2室3室4室","75-145㎡","35200","看房津贴 低容积 车位充足 双阳台 "
"长阳光和作用","房山区","2室3室","88.5-112.62㎡","38000","看房津贴 低容积 双卫生间 双阳台 "
"招商玺","大兴区","4室","143-266㎡","83160","看房津贴 一房一价 主卧套房 学校 "
"北京城建·龙樾天元","丰台区","4室","128-167㎡","85000","看房津贴 一房一价 车位充足 双卫生间 "
"亮马福景苑","朝阳区","1室3室","120-195㎡","83000","看房津贴 多轨交 轨交房 主卧套房 "
"中建房山国贤府","房山区","3室4室","105-165㎡","45000","看房津贴 一房一价 轨交房 车位充足 "
"京投发展·森与天成","丰台区","3室4室","89-168㎡","80000","看房津贴 多轨交 轨交房 低容积 "
"中海学仕里","石景山区","2室3室4室","72-115㎡","75500","看房津贴 主卧套房 装修交付 大户型 "
"中海永定玖里","丰台区","3室4室低密住宅","105-316㎡","55000","看房津贴 一房一价 低容积 车位充足 "
"电建·西山源著","门头沟区","低密住宅","350-395㎡","1500","看房津贴 卧室全朝南 大户型 放松限购 "
"硅谷SOHO","昌平区","商业","49.74-99.47㎡","17000","看房津贴 学校 放松限购 低总价 "
"中海甲叁號院","丰台区","4室","200㎡","125000","看房津贴 多轨交 轨交房 车位充足 "
"府右十八号","顺义区","低密住宅","567-698㎡","2900","看房津贴 高绿化率 卧室全朝南 学校 "
"山屿西山著","海淀区","低密住宅","225㎡","1500","看房津贴 车位充足 卧室全朝南 大户型 "
"中国铁建·澜廷墅","房山区","4室","223-255㎡","530","看房津贴 卧室全朝南 学校 购物中心 "
"璟上兰园","顺义区","3室4室","105-152㎡","55000","看房津贴 一房一价 低容积 车位充足 "
"首开璞瑅隐园","丰台区","3室4室","115-215㎡","112000","看房津贴 一房一价 轨交房 车位充足 "
"天资陸号院","房山区","1室2室3室5室6室","52-336㎡","39000","看房津贴 高绿化率 小户型 大户型 "
"翡翠西湖","丰台区","低密住宅","330㎡","295","看房津贴 一房一价 车位充足 放松限购 "
"玖瀛府","昌平区","低密住宅","192-334㎡","800","看房津贴 车位充足 主卧套房 装修交付 "
"燕西华府","丰台区","3室低密住宅","110-590㎡","452","看房津贴 车位充足 装修交付 放松限购 "
"北京建工·熙华台","丰台区","3室4室","98-154㎡","85000","看房津贴 一房一价 车位充足 双阳台 "
"金桐拾贰","朝阳区","1室2室3室","60-251㎡","145000","看房津贴 多轨交 轨交房 主卧套房 "
"西长安壹号","门头沟区","商业","44.58-80.79㎡","30000","看房津贴 轨交房 全景飘窗 学校 "
"金辰府","昌平区","3室4室","89-143㎡","55000","看房津贴 车位充足 主卧套房 装修交付 "
"碧桂园和世界","通州区","2室3室4室","65-135㎡","58000","看房津贴 轨交房 车位充足 主卧套房 "
"兴创荣墅","大兴区","低密住宅","188-573㎡","460","看房津贴 车位充足 学校 放松限购 "
"中铁华侨城和园","大兴区","2室3室4室低密住宅","154-306㎡","63000","看房津贴 一房一价 多轨交 轨交房 "
"永定金茂府","丰台区","3室4室","111-176㎡","95000","看房津贴 多轨交 轨交房 车位充足 "
"北京建工·嘉境里","昌平区","2室3室4室","74-154㎡","43000","看房津贴 主卧套房 装修交付 卧室全朝南 "
"中海寰宇天下|天镜","石景山区","2室3室4室","98-196㎡","76000","看房津贴 多轨交 轨交房 车位充足 "
"颐瑞府","通州区","3室4室","135-180㎡","62000","看房津贴 一房一价 多轨交 轨交房 "
"建发·观云","顺义区","4室","133-208㎡","58000","看房津贴 一房一价 低容积 主卧套房 "
"中建壹品·花香壹号","丰台区","3室4室","88-139㎡","65000","看房津贴 车位充足 双阳台 主卧套房 "
"中交·伴山观岚","石景山区","3室4室","95-176㎡","59000","看房津贴 多轨交 轨交房 低容积 "
"金隅上城郡","昌平区","低密住宅","206.09-394㎡","1000","看房津贴 一房一价 放松限购 "
"檀谷若丘","门头沟区","3室4室","99-138㎡","39999","看房津贴 一房一价 低容积 车位充足 "
"华萃西山","门头沟区","3室4室低密住宅","105-245㎡","50000","看房津贴 一房一价 轨交房 低容积 "
"元玺","石景山区","3室4室","120-196㎡","78000","看房津贴 车位充足 主卧套房 装修交付 "
"金舆东华","城区","2室3室4室","245-443.76㎡","180000","看房津贴 车位充足 主卧套房 大户型 "
"首创伊林郡","房山区","2室3室","81-94㎡","33000","看房津贴 卧室全朝南 学校 购物中心 "
"万科翡翠书院","海淀区","低密住宅","180-260㎡","850","看房津贴 车位充足 装修交付 学校 "
"鲁能钓鱼台美高梅别墅","丰台区","低密住宅","333-428㎡","5428","看房津贴 多轨交 轨交房 学校 "
"万科大都会滨江","通州区","商业","130-274㎡","65500","看房津贴 一房一价 轨交房 装修交付 "
"金地保利·和锦华宸","顺义区","低密住宅","150-285㎡","42000","看房津贴 低容积 车位充足 装修交付 "
"北京城建宸知筑","丰台区","3室4室","110-135㎡","75000","看房津贴 轨交房 车位充足 主卧套房 "
"北京中冶·德贤御府","朝阳区","2室3室4室","75-145㎡","80000","看房津贴 一房一价 多轨交 轨交房 "
"君礼著","丰台区","3室4室","125-165㎡","106000","看房津贴 多轨交 轨交房 车位充足 "
"中海汇智里","昌平区","1室2室3室4室","56-121㎡","50000","看房津贴 一房一价 轨交房 车位充足 "
"中海富华里","海淀区","2室3室4室","80-140㎡","82000","看房津贴 主卧套房 装修交付 大户型 "
"中海首开湖光玖里","顺义区","低密住宅","370㎡","1800","看房津贴 低容积 车位充足 全景飘窗 "
"中海寰宇视界","丰台区","1室2室3室4室","53-280㎡","55000","看房津贴 一房一价 轨交房 主卧套房 "
"京贸国际公馆","通州区","3室","91-127㎡","63000","看房津贴 高绿化率 主卧套房 卧室全朝南 "
"建投国贸·瑨上","通州区","1室2室3室","62-139㎡","45000","看房津贴 一房一价 低容积 车位充足 "
"天恒京西悦府","房山区","低密住宅","175-175㎡","68600","看房津贴 轨交房 低容积 车位充足 "
"住总首开保利熙悦雲上","大兴区","3室4室","106-152㎡","65000","看房津贴 一房一价 车位充足 主卧套房 "
"京贸国际城","通州区","1室2室3室","69.83-140.68㎡","68000","看房津贴 装修交付 学校 购物中心 "
"运河铭著","通州区","2室3室4室","100-166㎡","49000","看房津贴 车位充足 高绿化率 主卧套房 "
"国誉未来悦","通州区","3室4室5室","85-140㎡","56000","看房津贴 车位充足 主卧套房 装修交付 "
"旭辉城","房山区","2室3室","75-116㎡","23900","看房津贴 一房一价 车位充足 放松限购 "
"中铁兴创·逸境","大兴区","2室3室4室","74-134㎡","53500","看房津贴 一房一价 车位充足 主卧套房 "
"新光大中心","通州区","商业","97-179㎡","50000","看房津贴 一房一价 轨交房 装修交付 "
"西山金茂府","丰台区","3室4室","120-215㎡","55000","看房津贴 低容积 车位充足 主卧套房 "
"国门智慧城","顺义区","3室4室","50㎡","39000","看房津贴 放松限购 "
"望京龙樾合玺","朝阳区","3室4室","123-175㎡","88000","看房津贴 双卫生间 主卧套房 卧室全朝南 "
"丰禾嘉会","大兴区","3室4室","80-121㎡","58000","看房津贴 车位充足 主卧套房 学校 "
"朝阳壹号","朝阳区","3室4室5室","110-170㎡","71000","看房津贴 轨交房 车位充足 主卧套房 "
"北京城建·国誉燕园","昌平区","1室2室3室4室","54-127㎡","39000","看房津贴 一房一价 低容积 高绿化率 "
"保利建工·星宸和煦","顺义区","3室4室","110-143㎡","58000","看房津贴 车位充足 双阳台 主卧套房 "
"华龙in巷","城区","1室2室3室4室","63-187㎡","99000","看房津贴 多轨交 轨交房 双阳台 "
"中铁·诺德阅墅","顺义区","低密住宅","235-300㎡","1250","看房津贴 一房一价 装修交付 放松限购 "
"京能·丽墅","大兴区","低密住宅","170-311㎡","470","看房津贴 一房一价 车位充足 卧室全朝南 "
"复兴华府","通州区","2室3室","108-128㎡","48000","看房津贴 轨交房 双阳台 学校 "
"凯德麓语","昌平区","低密住宅","430-868㎡","800","看房津贴 车位充足 放松限购 低总价 "
"韩建观山源墅","房山区","4室低密住宅","142-330㎡","1088","看房津贴 车位充足 学校 放松限购 "
"誉天下盛寓","顺义区","3室低密住宅","120-240㎡","65000","看房津贴 高绿化率 主卧套房 装修交付 "
"雅居乐富春山居","门头沟区","4室低密住宅","143-225㎡","45000","看房津贴 低容积 车位充足 主卧套房 "
"复地通运府","通州区","商业","102-127㎡","45000","看房津贴 轨交房 主卧套房 装修交付 "
"天恒水岸壹号","房山区","3室4室低密住宅","122-198㎡","47000","看房津贴 一房一价 轨交房 车位充足 "
"尚峯壹號","顺义区","3室4室","107-360㎡","45000","看房津贴 车位充足 放松限购 低总价 "
"中建·国望府","丰台区","低密住宅","250-274㎡","3600","看房津贴 低容积 大户型 放松限购 "
"富兴首府","朝阳区","3室4室","145-247㎡","82000","看房津贴 低容积 双阳台 主卧套房 "
"北京城建·北京合院","顺义区","3室4室低密住宅","93-330㎡","950","看房津贴 一房一价 低容积 车位充足 "
"中国铁建·顺鑫汇","顺义区","3室4室","67000㎡","21000","看房津贴 放松限购 低单价 "
"香江别墅II","昌平区","低密住宅","195-435㎡","663","看房津贴 车位充足 学校 大户型 "
"银河中心","大兴区","商业","60-61㎡","35000","看房津贴 轨交房 装修交付 学校 "
"建邦·顺颐府·合院","顺义区","低密住宅","272㎡","1199","看房津贴 大户型 放松限购 "
"住总·芳华里","顺义区","2室3室4室","88-132㎡","40500","看房津贴 轨交房 车位充足 学校 "
"绿地海珀云翡","大兴区","2室3室","102-182㎡","72000","看房津贴 轨交房 车位充足 学校 "
"中建·和颂九里","丰台区","3室4室","108-134㎡","73000","看房津贴 轨交房 车位充足 主卧套房 "
"中海丰和叁號院","丰台区","4室","168-262㎡","92000","看房津贴 多轨交 轨交房 双阳台 "
"新城国际23","朝阳区","1室2室3室4室","136-276㎡","140000","看房津贴 多轨交 轨交房 高绿化率 "
"龙湖·御湖境","顺义区","3室4室","115-360㎡","46000","看房津贴 一房一价 轨交房 车位充足 "
"中海中旅西山观复","海淀区","4室","140-167㎡","85000","看房津贴 低容积 车位充足 主卧套房 "
"万科·大都会NAVA","朝阳区",,"17600㎡","120000","看房津贴 多轨交 轨交房 装修交付 "
"月亮河七星公馆","通州区","1室2室","55-109㎡","78000","看房津贴 低容积 高绿化率 双阳台 "
"傲云","朝阳区","4室5室低密住宅","240-455㎡","2150","看房津贴 轨交房 全景飘窗 主卧套房 "
"明月听蘭","通州区","3室","138㎡","58000","看房津贴 车位充足 主卧套房 装修交付 "
"宸悦国际","昌平区","1室2室3室4室","57-121㎡","50000","低容积 车位充足 主卧套房 装修交付 "
"峯范北京","门头沟区","4室","99㎡","55000","轨交房 装修交付 卧室全朝南 学校 "
"北清橡树湾","昌平区","2室3室","72-106㎡","60000","车位充足 主卧套房 装修交付 卧室全朝南 "
"北京城建·宽院·国誉府","大兴区","4室低密住宅","130-240㎡","330","车位充足 放松限购 "
"京能龙湖熙上","朝阳区","2室3室4室","66-202.34㎡","63000","一房一价 车位充足 主卧套房 装修交付 "
"葛洲坝北京紫郡兰园","海淀区","3室4室","89-139㎡","53000","低容积 车位充足 主卧套房 装修交付 "
"万科城市之光","通州区",,"850000㎡","28000","车位充足 学校 配套纯熟 放松限购 "
"中建壹品·学府公馆","海淀区","5室","219㎡","100800","轨交房 车位充足 主卧套房 装修交付 "
"郞府书苑","通州区","3室","105.65-116.18㎡","26000","车位充足 主卧套房 大户型 放松限购 "
"华润理想国","昌平区","3室4室","90-138㎡","49520","车位充足 装修交付 学校 放松限购 "
"丽都悦府","朝阳区","1室2室3室4室6室","81-375㎡","110000","多轨交 轨交房 车位充足 主卧套房 "
"石榴春和景明","通州区","3室4室","155-225㎡","69500","车位充足 主卧套房 装修交付 大户型 "
"中建长安麓院","门头沟区","3室4室","89-118㎡","54500","一房一价 低容积 车位充足 主卧套房 "
"珠江·天樾书院","昌平区","低密住宅","270-310㎡","1390","车位充足 高绿化率 大户型 放松限购 "
"中海金樾和著","房山区","3室4室","89-203㎡","34000","一房一价 低容积 车位充足 大户型 "
"龙湖·御湖境（一期）","顺义区","3室4室","120-187㎡","46000","一房一价 低容积 车位充足 双卫生间 "
"绿城西山云庐","石景山区","低密住宅","300-411㎡","2000","轨交房 车位充足 大户型 放松限购 "
"建邦·顺颐府·合院","顺义区","3室4室低密住宅","89-272㎡","1199","低容积 车位充足 装修交付 放松限购 "
"首创天阅山河","丰台区","3室4室","109-157㎡","81000","轨交房 车位充足 主卧套房 装修交付 "
"中骏西山天璟","门头沟区","3室","101-117㎡","55000","车位充足 双阳台 主卧套房 卧室全朝南 "
"长海御墅·雲尚苑","房山区","2室3室","87-124㎡","17000","车位充足 主卧套房 卧室全朝南 学校 "
"阳光城檀悦","顺义区","2室6室低密住宅","88-700㎡","1140","车位充足 双阳台 卧室全朝南 学校 "
"时代中心","丰台区","商业","34500㎡","28000","放松限购 "
"八斗","朝阳区","2室3室4室","88-180㎡","110000","多轨交 轨交房 双阳台 主卧套房 "
"海淀幸福里","海淀区","3室4室","145-195㎡","83000","一房一价 主卧套房 装修交付 大户型 "
"首开国风尚樾","朝阳区","3室4室","146.67-210.49㎡","120000","车位充足 学校 大户型 南北通透 "
"京投发展·岚山","海淀区","2室3室","89-123㎡","55188","低容积 车位充足 主卧套房 装修交付 "
"未来中心","昌平区","商业","265500㎡","38800","车位充足 装修交付 放松限购 "
"北汽潮白水悦","顺义区","1室2室3室","66-117㎡","没有价格","装修交付 卧室全朝南 小户型 大户型 "
"中海云筑·御云府","大兴区","低密住宅","266㎡","799","购物中心 大户型 放松限购 "
"壹·亮马","朝阳区","5室","251㎡","98000","装修交付 卧室全朝南 学校 大户型 "
"北京东湾","通州区","1室2室3室4室","60.79-159.38㎡","68500","车位充足 主卧套房 装修交付 卧室全朝南 "
