"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"珠实·云悦花语","白云区","3室4室","70-96㎡","14400","轨交房 车位充足 双阳台 主卧套房 "
"智联汽车小镇","番禺区","3室4室","95-125㎡","24000","双阳台 主卧套房 装修交付 大户型 "
"嘉云汇·云廷","花都区","2室3室","81-117.35㎡","16000","车位充足 双阳台 主卧套房 装修交付 "
"中鼎·书院上城","黄埔区","3室4室","86-130㎡","47000","多轨交 轨交房 双阳台 主卧套房 "
"华标峰湖御境","黄埔区","5室7室8室10室","360-690㎡","56000","学校 购物中心 配套纯熟 不限购 "
"新世界·凯粤湾","荔湾区","3室4室","95-133㎡","48000","轨交房 双阳台 主卧套房 装修交付 "
"珠江天郦","天河区","4室","129-180㎡","97000","多轨交 轨交房 车位充足 双阳台 "
"中建·凤榕台","增城区","2室3室4室","67-89㎡","15000","轨交房 车位充足 双阳台 主卧套房 "
"侨鑫·保利·汇景台","天河区","3室4室","124-290㎡","140000","低容积 双阳台 主卧套房 装修交付 "
"保利珑玥公馆","白云区","3室4室","74-102㎡","16000","一房一价 车位充足 双阳台 主卧套房 "
"广州地铁地产·云城上品","白云区","3室4室","72-143㎡","37000","车位充足 双阳台 主卧套房 装修交付 "
"粤海·云港城","白云区","4室","140-270㎡","100000","一房一价 轨交房 主卧套房 学校 "
"招商金茂保利和府花园","从化区","3室4室","68-120㎡","15000","车位充足 装修交付 不限购 低总价 "
"敏捷东樾府","增城区","2室3室","75-105㎡","9500","车位充足 双阳台 主卧套房 装修交付 "
"中铁诺德·阅泷","白云区","2室3室4室","79-129㎡","20000","一房一价 车位充足 双阳台 主卧套房 "
"天河云商汇","天河区","商业","31-56㎡","36000","一房一价 装修交付 学校 购物中心 "
"富丰华庭","增城区","3室4室","89-118㎡","16000","轨交房 双阳台 主卧套房 大户型 "
"华宇·锦绣云赋","从化区","3室4室","76-109㎡","16000","双阳台 主卧套房 卧室全朝南 不限购 "
"钱隆江景","从化区","2室3室","75-105㎡","14000","轨交房 车位充足 双阳台 主卧套房 "
"中鼎名汇","黄埔区","商业","49-86㎡","22000","多轨交 轨交房 装修交付 学校 "
"帝景山庄","天河区","别墅","430㎡","4300","车位充足 高绿化率 学校 购物中心 "
"越秀·观樾","天河区","4室","140-252㎡","80000","学校 购物中心 配套纯熟 "
"珠江·花屿花城","增城区","3室","79-98㎡","10800","车位充足 全景飘窗 大阳台 双卫生间 "
"金地商置都会峯范","花都区","2室3室","81-125㎡","19000","轨交房 车位充足 双阳台 主卧套房 "
"荔湾新天地","荔湾区","商业","36-70㎡","25000","轨交房 装修交付 学校 "
"中国铁建花语上城","南沙区","3室4室","98-140㎡","29000","车位充足 装修交付 学校 购物中心 "
"越秀·星汇海珠湾","海珠区","商业","95-223㎡","35000","一房一价 多轨交 轨交房 双卫生间 "
"中国铁建·西派粤府","海珠区","4室","120-140㎡","65000","双阳台 主卧套房 装修交付 学校 "
"中建保利·天骄","花都区","3室4室","88-110㎡","22000","一房一价 车位充足 主卧套房 装修交付 "
"保利琅誉","番禺区","3室4室","92-132㎡","33000","轨交房 车位充足 双阳台 主卧套房 "
"合景保利·香樾四季花园","花都区","3室4室","78-115㎡","15000","车位充足 主卧套房 装修交付 大户型 "
"合和新城","花都区","2室3室4室5室6室","60-207.6㎡","22000","轨交房 双阳台 主卧套房 装修交付 "
"国贸云上","白云区","3室4室","85-143㎡","48000","多轨交 轨交房 大阳台 双卫生间 "
"大壮名城·名门","黄埔区","3室4室5室","88-256㎡","没有价格","多轨交 轨交房 车位充足 高绿化率 "
"能建·天河麓誉府","天河区","3室4室5室","80-125㎡","46000","轨交房 车位充足 双阳台 主卧套房 "
"越秀珠实城发·江湾·和樾","海珠区","4室","138-188㎡","75000","一房一价 多轨交 轨交房 双阳台 "
"广州城投·空港1号","花都区","2室3室","79-115㎡","19000","车位充足 双阳台 主卧套房 装修交付 "
"珠江壹号","海珠区","商业","49-95㎡","48000","多轨交 轨交房 装修交付 卧室全朝南 "
"保利湖光悦色","海珠区","4室","127-200㎡","90000","多轨交 轨交房 车位充足 大阳台 "
"保利中海金地大国璟","增城区","2室3室","72-125㎡","13000","装修交付 学校 不限购 低总价 "
"公园前·君熙府","越秀区","3室4室","93-146㎡","88000","多轨交 轨交房 双阳台 主卧套房 "
"城投珠江·天河壹品","天河区","3室4室5室","96-143㎡","68000","车位充足 双阳台 主卧套房 装修交付 "
"广州滨江上都","荔湾区","3室4室5室","108-253㎡","80000","轨交房 车位充足 双阳台 主卧套房 "
"颐安·俪都府","花都区","3室4室","88-138㎡","22500","车位充足 双阳台 主卧套房 装修交付 "
"华润置地天河润府","天河区","3室4室","81-130㎡","55000","双阳台 主卧套房 卧室全朝南 学校 "
"珠江铂世湾","番禺区","3室4室","108-138㎡","45000","一房一价 轨交房 车位充足 双阳台 "
"方圆美林·滨江壹号","海珠区","2室3室4室","90-132㎡","80000","多轨交 轨交房 双阳台 主卧套房 "
"保利·锦上印","荔湾区","3室4室5室","88-126㎡","54000","轨交房 主卧套房 装修交付 卧室全朝南 "
"广垦·天河1号","天河区","商业","40-40㎡","28000","轨交房 卧室全朝南 厨卫全明 "
"华侨城湖岸","增城区","2室3室","79-110㎡","13000","双阳台 主卧套房 装修交付 大户型 "
"珠实·西关都荟","荔湾区","3室4室5室","89-142㎡","70000","多轨交 轨交房 主卧套房 学校 "
"时代天韵（黄埔）","黄埔区","3室","88-110㎡","38000","一房一价 车位充足 双阳台 主卧套房 "
"雅居乐海伦堡溪境花园","从化区","2室3室4室","88-165㎡","12000","一房一价 车位充足 双阳台 主卧套房 "
"珠江·海珠里","海珠区","2室3室4室","75-129㎡","45000","多轨交 轨交房 双阳台 主卧套房 "
"武汉城建·保利·花语和岸","荔湾区","3室4室","86-142㎡","57000","多轨交 轨交房 车位充足 双阳台 "
"朗信国际","番禺区","商业","29-75.37㎡","18000","一房一价 车位充足 装修交付 复式 "
"电建地产·广州·洺悦玉府","番禺区","3室4室","105-125㎡","25000","车位充足 全景飘窗 双卫生间 双阳台 "
"佳大瑞园","黄埔区","3室4室","93-129㎡","27000","一房一价 多轨交 轨交房 车位充足 "
"嘉河湾8号","花都区","3室别墅","95-149㎡","15000","轨交房 高绿化率 装修交付 学校 "
"淘金半山豪庭·御庭","越秀区","2室3室4室","85-192㎡","110000","一房一价 轨交房 车位充足 双阳台 "
"广州增城万科城","增城区","3室","79-100㎡","13000","车位充足 主卧套房 装修交付 不限购 "
"珠江·海御","南沙区","3室4室","110-195㎡","34000","一房一价 双阳台 主卧套房 装修交付 "
"广州地铁地产·云筑上品","白云区","3室4室","88-143㎡","45000","车位充足 全景飘窗 双阳台 主卧套房 "
"中奥方直明日公元","增城区","2室3室","75-96㎡","17000","车位充足 双阳台 主卧套房 装修交付 "
"中国铁建·招商蛇口·西派天河序","天河区","4室","123-240㎡","85000","轨交房 主卧套房 装修交付 学校 "
"越秀公交·天悦云山府","白云区","3室5室","90-156㎡","50000","一房一价 双阳台 主卧套房 装修交付 "
"天睿","番禺区","商业","37-180㎡","22000","学校 不限购 "
"珠光·金融城壹号","天河区","商业","38-375㎡","110000","轨交房 主卧套房 装修交付 卧室全朝南 "
"振业学府里","增城区","2室3室","75-107㎡","13000","主卧套房 装修交付 学校 不限购 "
"大华城东瀚","增城区","1室2室3室","64-97㎡","15000","轨交房 双阳台 主卧套房 装修交付 "
"金地·云上","增城区","1室2室","60-104㎡","11000","一房一价 车位充足 双阳台 主卧套房 "
"保利锦上（黄埔）","黄埔区","3室","75-135㎡","27000","双阳台 主卧套房 装修交付 三房朝南 "
"广州地铁地产·云庐","白云区","4室","128-172㎡","58000","轨交房 双阳台 主卧套房 装修交付 "
"天颐华府","番禺区","别墅","258-390㎡","2600","车位充足 高绿化率 装修交付 不限购 "
"保利琅悦","花都区","4室","135-168㎡","24000","轨交房 装修交付 学校 购物中心 "
"新世界天馥","荔湾区","3室4室","76-139㎡","41000","轨交房 车位充足 双阳台 主卧套房 "
"保利罗兰国际","黄埔区","3室4室","108-135㎡","45000","一房一价 多轨交 轨交房 车位充足 "
"星河湾萝峰","黄埔区","3室4室5室","130-265㎡","38000","车位充足 主卧套房 装修交付 学校 "
"富力南驰·富颐都荟","黄埔区","2室3室4室","78-139㎡","51000","双阳台 主卧套房 装修交付 大户型 "
"中海观澔府","海珠区","3室4室","89-126㎡","65000","一房一价 多轨交 轨交房 车位充足 "
"星河·江堤春晓","南沙区","3室4室","99-133㎡","30000","轨交房 车位充足 双阳台 主卧套房 "
"首铸铂瑞云湾","番禺区","3室4室","86-154㎡","21000","一房一价 低容积 车位充足 高绿化率 "
"旭辉光屿南方","白云区","3室4室","75-114㎡","15000","轨交房 车位充足 主卧套房 装修交付 "
"万科城市之光","黄埔区","3室4室","92-138㎡","52000","多轨交 轨交房 主卧套房 装修交付 "
"金地香山湖（金地御湖颂）","增城区","别墅","145-191㎡","350","低容积 装修交付 学校 大户型 "
"璞悦台","番禺区","3室4室","102-128㎡","33000","车位充足 高绿化率 主卧套房 装修交付 "
"新世界星辉","增城区","3室4室","76-114㎡","18000","车位充足 双阳台 主卧套房 装修交付 "
"金地·公园名著","增城区","2室3室","69-106㎡","13999","一房一价 车位充足 双阳台 主卧套房 "
"珠江·未来城","番禺区","商业","36-335㎡","11000","装修交付 不限购 低总价 低单价 "
"珠江·时光荟","增城区","1室2室3室","66-98㎡","16000","双阳台 主卧套房 装修交付 卧室全朝南 "
"招商·湾区1872","南沙区","3室4室","79-195㎡","28000","车位充足 大阳台 双阳台 主卧套房 "
"富力新城","黄埔区","2室3室4室","73-120㎡","31000","一房一价 双阳台 主卧套房 装修交付 "
"星誉·星晴雅筑","番禺区","2室","89-93㎡","29000","双阳台 主卧套房 装修交付 卧室全朝南 "
"西派尊府","南沙区","4室","278-370㎡","50000","车位充足 大户型 大户型不限购 "
"天麟府·瑧林","天河区","3室","123㎡","150000","多轨交 轨交房 高绿化率 双阳台 "
"御溪·臻山墅","增城区","别墅","230-236㎡","没有价格","轨交房 车位充足 卧室全朝南 学校 "
"珠实·嘉悦湾","白云区","3室4室","89-112㎡","48000","一房一价 轨交房 主卧套房 装修交付 "
"中国铁建花语岭南","番禺区","4室别墅","108-195㎡","46000","一房一价 车位充足 全景飘窗 双阳台 "
"灵山岛金茂湾","南沙区","2室3室4室5室","68-252㎡","39000","车位充足 装修交付 大户型不限购 "
"珠江壹城·禧悦花园","从化区","3室4室","100-120㎡","15000","轨交房 低容积 车位充足 高绿化率 "
"碧桂园藏珑府长盛汇","番禺区","商业","33㎡","22000","装修交付 不限购 低总价 低单价 "
"东基·天河阳光","天河区","商业","30-40㎡","35000","卧室全朝南 学校 购物中心 配套纯熟 "
"颐德湾尚","南沙区","3室4室","142-265㎡","38000","双阳台 主卧套房 装修交付 大户型 "
"广州南站ICC·峻銮","番禺区","2室3室4室","68-162㎡","50000","车位充足 双阳台 主卧套房 卧室全朝南 "
"名城御景世嘉","从化区","2室3室4室","108-145㎡","14000","轨交房 学校 购物中心 配套纯熟 "
"中诚璟泷湾","花都区","3室4室","86-123㎡","14000","一房一价 双阳台 主卧套房 装修交付 "
"越秀·万博城","番禺区","4室","103-188㎡","50000","装修交付 学校 购物中心 配套纯熟 "
"保利滨江和著","番禺区","3室4室","86-142㎡","43000","轨交房 双阳台 主卧套房 装修交付 "
"路劲美的·隽樾府","番禺区","3室4室","87-132㎡","40000","多轨交 轨交房 车位充足 大阳台 "
"越秀|滨江·樾","海珠区","4室","195-298㎡","90000","多轨交 轨交房 学校 购物中心 "
"广州幸福湾","荔湾区","3室4室5室","139-335㎡","90000","轨交房 双阳台 主卧套房 装修交付 "
"星河智荟·2期","南沙区","2室3室","88-118㎡","23000","轨交房 车位充足 主卧套房 装修交付 "
"越秀·天瀛","荔湾区","3室4室","87-125㎡","32000","车位充足 高绿化率 主卧套房 装修交付 "
"珠江·金瑶台","海珠区","2室3室","79.04-103㎡","51000","多轨交 轨交房 双阳台 主卧套房 "
"耀胜新世界广场|耀胜尊府","番禺区","3室5室","92-132㎡","62800","多轨交 轨交房 车位充足 双阳台 "
"岭南V谷","荔湾区","2室3室","40-46㎡","19000","低总价 低单价 "
"广州城投·东园公馆","越秀区","3室4室","91-178㎡","120000","多轨交 轨交房 学校 购物中心 "
"力迅·西关雅筑","荔湾区","2室3室4室","60-140㎡","68000","一房一价 多轨交 轨交房 双阳台 "
"嘉裕中心.J公馆","天河区","商业","68-180㎡","105000","多轨交 轨交房 装修交付 大户型不限购 "
"海珠湖景峰","海珠区","3室","87-133㎡","40000","双阳台 主卧套房 卧室全朝南 学校 "
"花悦台","花都区","2室3室","67-93㎡","8500","双阳台 装修交付 卧室全朝南 学校 "
"万科·理想花地·瑧园","荔湾区","2室3室4室","108-186㎡","60000","轨交房 车位充足 全景飘窗 主卧套房 "
"越秀星耀TOD","增城区","3室4室","100-125㎡","18500","一房一价 轨交房 车位充足 双阳台 "
"越秀·大学城·和樾府","番禺区","4室","110-175㎡","50000","一房一价 车位充足 双阳台 主卧套房 "
"保利·汉溪大都汇","番禺区","商业","46-100㎡","24000","多轨交 轨交房 装修交付 不限购 "
"招商保利·海珠天珺","海珠区","3室4室","137-262㎡","100000","车位充足 双阳台 主卧套房 装修交付 "
"路劲·星棠","增城区","2室3室","78-95㎡","17000","车位充足 双阳台 主卧套房 装修交付 "
"金融街花溪小镇","花都区","2室3室4室5室","71-130㎡","9800","车位充足 高绿化率 装修交付 学校 "
"公交珠实·花城云著","白云区","3室4室5室","69-110㎡","35000","主卧套房 装修交付 购物中心 小户型 "
"龙湖天著","白云区","3室4室","88-158㎡","28000","一房一价 低容积 双阳台 主卧套房 "
"广州悦峰","增城区","3室4室","76-96㎡","11000","车位充足 双卫生间 双阳台 主卧套房 "
"保利锦绣公馆","白云区","2室3室","81-113㎡","33000","双阳台 主卧套房 装修交付 卧室全朝南 "
"佳兆业天墅","白云区","别墅","305-441㎡","5000","轨交房 车位充足 高绿化率 学校 "
"保利·四季和颂","海珠区","4室","140㎡","90000","车位充足 双阳台 主卧套房 装修交付 "
"华新·333","海珠区","商业","33-58㎡","37000","一房一价 多轨交 轨交房 装修交付 "
"珺筑水岸","南沙区","3室4室","113-176㎡","16000","车位充足 双阳台 主卧套房 装修交付 "
"富雅都市华庭","增城区","1室2室3室4室","38-118㎡","13800","装修交付 学校 购物中心 配套纯熟 "
"中国铁建海语熙岸","南沙区","3室4室5室","89.8-262㎡","29000","一房一价 车位充足 全景飘窗 双卫生间 "
"致景轩","海珠区","2室3室","78-110㎡","50000","多轨交 轨交房 车位充足 双阳台 "
"时代云来（广州）","白云区","3室4室","77-105㎡","26000","车位充足 双阳台 主卧套房 装修交付 "
"恒基·学苑壹号","番禺区","3室4室5室","105-345㎡","55000","车位充足 双阳台 主卧套房 装修交付 "
"越秀·江海潮鸣","南沙区","2室3室4室","96-140㎡","30000","一房一价 车位充足 双阳台 主卧套房 "
"中建·鄂旅投岭南悦府","增城区","2室3室","79-125㎡","16500","车位充足 大阳台 双卫生间 主卧套房 "
"山水·合悦","增城区","3室4室别墅","94-200㎡","20000","一房一价 低容积 车位充足 双阳台 "
"中冶·逸璟广场","海珠区","商业","30-76㎡","35000","多轨交 轨交房 装修交付 "
"尚品雅居","花都区","2室3室4室","73-131㎡","17000","高绿化率 双阳台 主卧套房 学校 "
"五矿招商江天际","白云区","3室4室","78-140㎡","45000","一房一价 双阳台 主卧套房 装修交付 "
"保利·和悦滨江","荔湾区","3室4室","74-107㎡","45000","一房一价 多轨交 轨交房 双阳台 "
"世纪金源·天河源筑","天河区","3室4室","91-182㎡","61888","车位充足 双阳台 主卧套房 装修交付 "
"天河·江源半岛","天河区","2室3室4室5室","70-256.25㎡","100000","多轨交 轨交房 双阳台 主卧套房 "
"中洲公馆","番禺区","商业","42-84㎡","35000","复式 学校 不限购 低总价 "
"华远·雲和墅","白云区","别墅","160-230㎡","1300","轨交房 车位充足 学校 购物中心 "
"越秀·天悦云啟","南沙区","3室4室","89-169㎡","22000","轨交房 双阳台 主卧套房 装修交付 "
"中铁建·信达·花语天宸","黄埔区","3室4室","97-168㎡","60000","一房一价 车位充足 双阳台 主卧套房 "
"中国铁建海悦国际","南沙区","3室4室","81-133㎡","20000","一房一价 车位充足 全景飘窗 双卫生间 "
"花都城投·湖山雅筑","花都区","3室4室","94-133㎡","23000","车位充足 学校 购物中心 配套纯熟 "
