"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"首创禧瑞云庭·悦荟","松江区",,"270㎡","29600","装修交付 学校 购物中心 配套纯熟 "
"保利·光合跃城","闵行区","3室4室","95-143㎡","65000","一房一价 低容积 主卧套房 装修交付 "
"东岸观邸","浦东区","3室4室","83-155㎡","64000","一房一价 轨交房 低容积 主卧套房 "
"海港中心·云悦","浦东区","3室4室5室","99-190㎡","没有价格","主卧套房 学校 购物中心 配套纯熟 "
"上海佳兆业城市广场","嘉定区","2室别墅","82-146㎡","239","一房一价 轨交房 低容积 主卧套房 "
"长安天御","静安区",,"54-81㎡","65000","多轨交 轨交房 装修交付 学校 "
"湖畔天下","嘉定区","1室2室","74-96㎡","52000","一房一价 轨交房 低容积 车位充足 "
"龙光·天曜","浦东区","3室4室别墅","85-133㎡","33050","一房一价 车位充足 主卧套房 装修交付 "
"中铁诺德·璟宸","浦东区","3室4室","89-129㎡","30000","一房一价 车位充足 主卧套房 装修交付 "
"中企云萃森林","浦东区","2室3室4室","90-175㎡","105000","一房一价 多轨交 轨交房 主卧套房 "
"未来港·元启","浦东区","2室3室","71-100㎡","28800","一房一价 多轨交 轨交房 主卧套房 "
"陆家嘴锦绣澜湾","浦东区","3室","89-127㎡","48361","一房一价 车位充足 主卧套房 装修交付 "
"建发观唐府","金山区","3室4室别墅","93-188㎡","33088","一房一价 低容积 车位充足 主卧套房 "
"虹盛里","虹口区","1室2室3室4室别墅","63-197㎡","99600","一房一价 多轨交 轨交房 双阳台 "
"大华峯荟","普陀区","3室别墅","100-176㎡","104000","一房一价 多轨交 轨交房 车位充足 "
"雅戈尔星海云境","浦东区","2室3室4室","78-139㎡","33000","一房一价 双阳台 主卧套房 装修交付 "
"建邦国宸府","金山区","2室3室别墅","67-130㎡","230","车位充足 大阳台 装修交付 学校 "
"保利明玥潮升","崇明区","2室别墅","82-163㎡","230","一房一价 低容积 车位充足 装修交付 "
"佳运·汇龙府","金山区","3室4室5室","123-208㎡","32500","一房一价 低容积 车位充足 双阳台 "
"宝华·紫薇花园","普陀区","2室3室4室","95-226㎡","83732","一房一价 主卧套房 装修交付 卧室全朝南 "
"金融街·奉贤金悦府","奉贤区","3室","89-99㎡","36000","一房一价 主卧套房 装修交付 放松限购 "
"金地丰盛道","松江区","3室","90-101㎡","51330","一房一价 车位充足 主卧套房 装修交付 "
"光明府","金山区","2室3室","90-125㎡","25650","双卫生间 双阳台 主卧套房 装修交付 "
"佳运名邸","宝山区","3室4室","87-129㎡","39837","一房一价 低容积 车位充足 主卧套房 "
"保利建发·璟玥府","嘉定区","3室4室5室","91-160㎡","46800","多轨交 轨交房 学校 购物中心 "
"陕建名城映蓝","奉贤区","3室4室","91-130㎡","25000","一房一价 车位充足 主卧套房 装修交付 "
"同润·新云都会","浦东区","3室4室","86-136㎡","48000","一房一价 主卧套房 装修交付 学校 "
"新华御著","金山区","2室3室别墅","72-211㎡","24638","一房一价 低容积 主卧套房 装修交付 "
"绿城·春晓园","青浦区","3室4室","100-150㎡","62743","一房一价 主卧套房 装修交付 学校 "
"品尊国际","普陀区","2室3室4室","102-205㎡","109800","一房一价 多轨交 轨交房 车位充足 "
"安联虹悦","青浦区","3室4室","88-133㎡","46000","一房一价 车位充足 主卧套房 装修交付 "
"临港天宸","浦东区","3室4室","99-185㎡","33000","一房一价 主卧套房 装修交付 学校 "
"春申阳光","嘉定区","1室2室3室别墅","55-176㎡","32000","一房一价 低容积 车位充足 双卫生间 "
"金融湾·晶二期","浦东区","3室4室5室","99-463㎡","36978","一房一价 车位充足 双阳台 主卧套房 "
"尚湾林语","闵行区","2室3室4室","81-149㎡","60500","一房一价 低容积 双阳台 主卧套房 "
"国贸虹桥璟上","青浦区","3室4室","89-129㎡","56352","一房一价 轨交房 主卧套房 装修交付 "
"天和·尚海荟庭","奉贤区","3室4室","88-119㎡","35888","主卧套房 学校 购物中心 配套纯熟 "
"META CITY|天元府","普陀区","3室4室","105-202㎡","96000","一房一价 多轨交 轨交房 主卧套房 "
"国印东方","金山区","3室4室","115-200㎡","31236","一房一价 低容积 主卧套房 装修交付 "
"上海长滩","宝山区","2室3室4室","66.23-228.2㎡","55000","一房一价 轨交房 车位充足 双卫生间 "
"泗泾绿中海","松江区","2室3室","89-133㎡","44149","一房一价 双阳台 主卧套房 装修交付 "
"森兰海天名筑","浦东区","3室4室","90-136㎡","54000","一房一价 低容积 主卧套房 装修交付 "
"汇景华庭","嘉定区","3室4室","89-118㎡","44500","一房一价 多轨交 轨交房 双阳台 "
"特发·学府里","浦东区","3室4室","96-115㎡","28000","一房一价 轨交房 车位充足 主卧套房 "
"大华星樾","闵行区","3室","109-109㎡","64389","轨交房 低容积 学校 购物中心 "
"华润置地观宸润府","浦东区","3室4室","98-146㎡","63760","一房一价 轨交房 主卧套房 装修交付 "
"联仲都悦汇","闵行区","别墅","261.53-305.36㎡","1900","车位充足 卧室全朝南 大户型 放松限购 "
"上实云端","青浦区","3室4室","95-125㎡","45700","一房一价 低容积 车位充足 主卧套房 "
"九里别院","松江区","别墅","853.2-945.88㎡","5700","低容积 高绿化率 学校 购物中心 "
"天潼198","虹口区","4室5室","298-641㎡","178000","多轨交 轨交房 学校 购物中心 "
"岛上的院子","崇明区","2室别墅","75-109㎡","28640","一房一价 低容积 装修交付 小户型 "
"同润蓝美俊庭","浦东区","2室3室别墅","88-160㎡","450","低容积 双阳台 装修交付 卧室全朝南 "
"奉发·左岸晶邸","奉贤区","3室4室别墅","99-153㎡","42000","一房一价 低容积 车位充足 主卧套房 "
"东来壹号","浦东区","3室别墅","85-143㎡","28000","一房一价 低容积 主卧套房 装修交付 "
"大名城映园Ⅱ期","奉贤区","3室4室","96-121㎡","23976","低容积 车位充足 大阳台 双卫生间 "
"复地湖畔和光","金山区","2室3室4室","75-136㎡","20688","一房一价 低容积 主卧套房 装修交付 "
"上实和风院","崇明区","2室别墅","80-175㎡","398","一房一价 低容积 车位充足 高绿化率 "
"海玥瀜庭","金山区","1室3室4室5室","82.3-165㎡","24273","一房一价 低容积 车位充足 装修交付 "
"龙湖虹桥青云阙","嘉定区","3室4室","107-145㎡","62136","一房一价 多轨交 轨交房 低容积 "
"佘山月湖山庄","松江区","别墅","538-855㎡","3800","轨交房 车位充足 高绿化率 全景飘窗 "
"东滩花园","崇明区","别墅","310-360㎡","没有价格","低容积 车位充足 高绿化率 大户型 "
"毕加索花园小镇","金山区","2室3室4室","78-204㎡","19000","低容积 双阳台 主卧套房 卧室全朝南 "
"前滩公馆","浦东区","2室3室4室","76-149㎡","115000","多轨交 轨交房 主卧套房 学校 "
"海上兰乔别墅","崇明区","别墅","300-712㎡","900","车位充足 高绿化率 大户型 "
"十里江湾","崇明区","2室3室4室别墅","75-148㎡","28350","一房一价 低容积 车位充足 装修交付 "
"兰香湖壹号","闵行区","4室5室","230-270㎡","81804","一房一价 轨交房 低容积 车位充足 "
"仁恒海明院","崇明区","别墅","75-200㎡","420","一房一价 车位充足 装修交付 低总价 "
"湾上","静安区","3室4室","143-248㎡","133800","一房一价 多轨交 轨交房 车位充足 "
"光明墅","崇明区","别墅","90-120㎡","246","车位充足 装修交付 低总价 "
"翠湖水岸","青浦区","2室3室","73-105㎡","28000","一房一价 低容积 车位充足 主卧套房 "
"世纪前滩·天汇","浦东区","2室3室4室","110-285㎡","132000","一房一价 多轨交 轨交房 车位充足 "
"新长宁·水韵名邸","青浦区","2室3室4室","82-133㎡","34800","一房一价 主卧套房 装修交付 学校 "
"宝业活力天境","青浦区","2室3室","86-95㎡","28000","一房一价 主卧套房 装修交付 学校 "
"上江南·璟荟名庭","奉贤区","3室4室别墅","96-272㎡","53456","一房一价 低容积 车位充足 双阳台 "
"嘉定新城御花园","嘉定区","3室4室","103-157㎡","45190","学校 购物中心 配套纯熟 "
"涌潮府","浦东区","3室4室","87-129㎡","51500","一房一价 主卧套房 装修交付 学校 "
"保利明玥宸光","奉贤区","3室4室","97-143㎡","42600","一房一价 轨交房 车位充足 主卧套房 "
"越秀·向东岛","嘉定区","4室5室别墅","142-265㎡","18800",
"中建壹品外滩源著","杨浦区","3室4室","99-143㎡","没有价格",
"龙湖观萃","奉贤区","3室4室","107-185㎡","43850","轨交房 装修交付 学校 购物中心 "
"TODTOWN天荟|悦麟","闵行区",,"151-183㎡","60000","多轨交 轨交房 装修交付 放松限购 "
"绿地外滩中心","黄浦董家渡",,"714-2600㎡","90000","多轨交 轨交房 "
"上海·力波","闵行区",,"150-3500㎡","57000","轨交房 卧室全朝南 厨卫全明 南北通透 "
"中海·顺昌玖里","黄浦淮海中路","3室4室别墅","151-495㎡","172000","一房一价 多轨交 轨交房 双阳台 "
"海泰北外滩","虹口区","3室4室6室","370-740㎡","145000","多轨交 轨交房 车位充足 装修交付 "
"汤臣一品","浦东区","4室6室8室","434-767㎡","270000","多轨交 轨交房 高绿化率 装修交付 "
"奉发·右岸晶邸","奉贤区","3室5室别墅","91-163㎡","43000","一房一价 低容积 车位充足 主卧套房 "
"大名城映玥","浦东区","3室","84-96㎡","31600","一房一价 低容积 车位充足 主卧套房 "
"美兰天地","宝山区",,"161-824㎡","32000","车位充足 放松限购 "
"碧桂园凤凰城","金山区","3室4室","95-133㎡","27300","一房一价 车位充足 双卫生间 主卧套房 "
"金港星海湾","浦东区","3室别墅","89-167㎡","35500","一房一价 低容积 车位充足 主卧套房 "
"华发招商依云四季","金山区","2室3室4室","78-125㎡","21104","低容积 车位充足 大阳台 双卫生间 "
"中国铁建印象花语墅","奉贤区","别墅","112-161㎡","550","车位充足 放松限购 "
"金融街金悦府","崇明区","2室3室4室别墅","79-160㎡","29874","一房一价 低容积 车位充足 全景飘窗 "
"港城悦领","浦东区","3室4室别墅","99-162㎡","36080","一房一价 低容积 车位充足 主卧套房 "
"合生东郊别墅","浦东区","别墅","731.72-1094.3㎡","24000","车位充足 高绿化率 学校 配套纯熟 "
"静安玺樾","静安区","2室3室4室","98-165㎡","125000","一房一价 多轨交 轨交房 车位充足 "
"览海国际高尔夫社区(A区)","崇明区","别墅","214.86-411.33㎡","1200","车位充足 装修交付 大户型 "
"佘山东紫园","松江区","别墅","410-1090㎡","4000","车位充足 高绿化率 全景飘窗 大阳台 "
"新未来·樾湖","金山区","3室4室","82-110㎡","20988","一房一价 低容积 双卫生间 双阳台 "
"保利天琴宇","嘉定区","3室4室别墅","200-300㎡","34000","低容积 车位充足 学校 购物中心 "
"上海高尔夫社区汤泉美地城","金山区","2室3室4室别墅","91-465㎡","19500","一房一价 低容积 车位充足 高绿化率 "
"君御公馆","浦东区","3室4室","90-180㎡","39900","一房一价 低容积 车位充足 主卧套房 "
"经纬城市绿洲社区商铺","宝山区",,"49.26㎡","66000","轨交房 学校 购物中心 配套纯熟 "
"樾山壹号","松江区",,"160-170㎡","35000","装修交付 学校 购物中心 配套纯熟 "
"新华御府","金山区","3室别墅","80-144㎡","22600","一房一价 低容积 车位充足 全景飘窗 "
"北外滩虹口源·717","虹口区","2室3室4室","101-356㎡","138000","一房一价 多轨交 轨交房 主卧套房 "
"建发熙和府","宝山区","3室4室","89-119㎡","47500","一房一价 轨交房 车位充足 主卧套房 "
"盘古悦天地","宝山区",,"35.8-60.01㎡","48000","轨交房 放松限购 低总价 "
"中粮首创禧瑞祥云","浦东区","2室3室别墅","90-130㎡","483","一房一价 低容积 车位充足 双阳台 "
"马利来名人府","松江区",,"55.18-110㎡","33000","双卫生间 复式 放松限购 低总价 "
"海伦堡·玖悦源筑","嘉定区","2室3室4室","71-138㎡","59300","一房一价 轨交房 低容积 车位充足 "
"佘山曼荼园","松江区","别墅","344-668㎡","3800","一房一价 车位充足 高绿化率 学校 "
"骏丰玲珑坊","嘉定区","1室2室3室","54.5-98㎡","46000","轨交房 装修交付 卧室全朝南 学校 "
"兴云间","松江区","3室别墅","90-193.6㎡","50600","一房一价 低容积 大阳台 主卧套房 "
"国贸中国铁建·西派海上","浦东区","3室4室","88-143㎡","没有价格","轨交房 学校 购物中心 配套纯熟 "
"圣和静安公馆","静安区","1室2室3室","65-141㎡","132517","多轨交 轨交房 装修交付 学校 "
"华发仁恒苏河世纪","静安区","3室","106-107㎡","132977","一房一价 多轨交 轨交房 车位充足 "
"奉发·贤荟悦邸│公园墅","奉贤区","2室3室别墅","71-166㎡","37867","一房一价 低容积 装修交付 学校 "
"中海领邸·玖序|玖章","徐汇龙华","3室4室","102-210㎡","146715","一房一价 多轨交 轨交房 主卧套房 "
"招商南昌市政·公园1872","浦东区","3室4室","89-143㎡","60000","一房一价 轨交房 低容积 主卧套房 "
"中国铁建花语天境","松江区","3室","96㎡","47272","一房一价 低容积 双阳台 主卧套房 "
"云锦东方三期云筑","徐汇龙华","4室5室7室8室","240-570㎡","164907","一房一价 多轨交 轨交房 主卧套房 "
"同润朱韵澜庭","青浦区","3室别墅","89-143㎡","42000","一房一价 低容积 车位充足 主卧套房 "
"滨江雅著","闵行区","2室3室","101-101㎡","43725","一房一价 多轨交 轨交房 双阳台 "
"公园海德","松江区","2室3室4室5室","91-197㎡","54876","一房一价 轨交房 低容积 车位充足 "
"中建海樾境府","奉贤区","3室4室","89-132㎡","42000","一房一价 低容积 车位充足 主卧套房 "
"港城云樾观海","浦东区","3室4室别墅","88-195㎡","33000","一房一价 轨交房 车位充足 主卧套房 "
"溢泽华庭","浦东区","1室2室3室","55.08-130.79㎡","54461","一房一价 双阳台 主卧套房 卧室全朝南 "
"盛青云锦","青浦区","3室4室","103-197㎡","44619","一房一价 车位充足 双阳台 主卧套房 "
"上海·嘉芯荟","嘉定区","2室3室","89-102㎡","39600","一房一价 轨交房 双阳台 主卧套房 "
"杨浦城投·悦江湾","杨浦区","3室4室","99-142㎡","99000","一房一价 多轨交 轨交房 主卧套房 "
"祥源溪悦","青浦区","2室3室4室","81-122㎡","45514","一房一价 低容积 车位充足 主卧套房 "
"保利联发光合臻园","闵行区","3室4室","95-131㎡","65000","一房一价 轨交房 车位充足 主卧套房 "
"宝业青春里","奉贤区","2室3室","75-95㎡","29181","一房一价 轨交房 低容积 双卫生间 "
"中皇北岸锦源","虹口区","2室3室4室","87.76-168.8㎡","113000","一房一价 多轨交 轨交房 车位充足 "
