"房源名称","地址","户型","占地面积","价格（每平方米）","特点"
"卓越·晟悦","坪山区","2室3室","68-98㎡","31000","看房津贴 一房一价 主卧套房 卧室全朝南 "
"天汇城二期","光明区","公寓","67-79㎡","39500","看房津贴 多轨交 轨交房 卧室全朝南 "
"凌云华府","罗湖区","2室3室4室","80-144㎡","65000","看房津贴 多轨交 轨交房 双阳台 "
"颐璟名庭","龙岗区","1室2室4室","65-114㎡","43000","看房津贴 一房一价 双阳台 主卧套房 "
"玺玥麓坊","宝安区","公寓","44-71㎡","68000","看房津贴 多轨交 轨交房 卧室全朝南 "
"深润大厦","罗湖区",,"129.01-389.87㎡","28000","看房津贴 多轨交 轨交房 学校 "
"中信城开红树湾","福田区","2室3室4室","76-142㎡","100000","看房津贴 轨交房 大阳台 主卧套房 "
"泰福名苑","宝安区","2室3室5室","66-135㎡","51000","看房津贴 一房一价 多轨交 轨交房 "
"兆邦基碧湖春天","坪山区","2室3室4室","73-131㎡","28000","看房津贴 一房一价 高绿化率 双阳台 "
"会展湾云岸","宝安区","公寓","33-124㎡","47700","看房津贴 一房一价 多轨交 轨交房 "
"悦千山雅园","盐田区",,"33582㎡","47000","看房津贴 学校 购物中心 配套纯熟 "
"壹湾府","龙华区","3室4室","86-118㎡","60000","看房津贴 一房一价 轨交房 高绿化率 "
"望辰府","盐田区","3室4室","89-129㎡","50000","看房津贴 一房一价 轨交房 低容积 "
"恒壹四季华府","龙华区","2室3室4室","80-118㎡","70800","看房津贴 一房一价 轨交房 高绿化率 "
"金众麒麟府","南山区",,"148860㎡","48000","看房津贴 轨交房 装修交付 "
"京基御景珑庭","宝安区","公寓","40-88㎡","没有价格","看房津贴 放松限购 "
"深圳中心·天元公寓","福田区","公寓","266-330㎡","135000","看房津贴 多轨交 轨交房 主卧套房 "
"百合世纪广场","龙岗区","3室4室5室","101-174㎡","65000","看房津贴 多轨交 轨交房 高绿化率 "
"中集前海国际中心","南山区",,"94㎡","80000","看房津贴 多轨交 轨交房 装修交付 "
"颐安都会中央五期","龙岗区","2室3室","75-143㎡","53000","看房津贴 轨交房 大阳台 双阳台 "
"华侨城·龙胜云坊","龙华区","公寓","24-55㎡","42000","看房津贴 一房一价 轨交房 装修交付 "
"新天石厦铭苑","福田区","2室3室4室","72-138㎡","107000","看房津贴 一房一价 多轨交 轨交房 "
"景勋天著","龙华区","2室3室4室","71-98㎡","40000","看房津贴 装修交付 学校 购物中心 "
"星河天地SPARK星寓","光明区","公寓","41-70㎡","35000","看房津贴 轨交房 全景飘窗 装修交付 "
"弘基南城小筑","南山区","1室2室","30.89-54.51㎡","83000","看房津贴 多轨交 轨交房 卧室全朝南 "
"鹏广达湾区壹号","盐田区",,"177319㎡","56000","看房津贴 学校 放松限购 人气榜 "
"颐安都会中央三期","龙岗区","2室3室","88-125㎡","53000","看房津贴 高绿化率 双阳台 主卧套房 "
"山水华庭","龙华区","1室2室","66-104㎡","47500","看房津贴 一房一价 高绿化率 双阳台 "
"开云府","南山区","3室4室","124-203㎡","66000","看房津贴 一房一价 多轨交 轨交房 "
"华侨城宝辰","宝安区",,"220-374㎡","80000","看房津贴 一房一价 多轨交 轨交房 "
"紫园云墅","龙岗区","2室3室4室","69-243㎡","1700","看房津贴 轨交房 低容积 双卫生间 "
"颐安·都会中央4期","龙岗区","3室","109-145㎡","56000","看房津贴 轨交房 双阳台 主卧套房 "
"会展湾水岸","宝安区","公寓","34-165㎡","47500","看房津贴 一房一价 多轨交 轨交房 "
"京基御景半山花园","龙岗区","2室3室4室别墅","79-328㎡","2100","看房津贴 高绿化率 双阳台 主卧套房 "
"太子湾108府","南山区",,"42000㎡","90000","看房津贴 购物中心 "
"恒裕深圳湾","南山区","公寓","162-343㎡","160000","看房津贴 多轨交 轨交房 车位充足 "
"东海国际公寓","福田区","公寓","176.05-318㎡","130000","看房津贴 多轨交 轨交房 装修交付 "
"华联城市中心","南山区",,"33-59000㎡","55000","看房津贴 一房一价 多轨交 轨交房 "
"神州数码国际创新中心","南山区",,"250000㎡","90000","看房津贴 多轨交 轨交房 学校 "
"万科大都会家园","宝安区","3室4室","115-144㎡","没有价格","多轨交 轨交房 高绿化率 双阳台 "
"御景峯大厦","南山区","68-228㎡","65000","80000","轨交房 装修交付 卧室全朝南 "
"保利青谷","龙岗区","3室4室","122-252㎡","48000","双阳台 主卧套房 装修交付 学校 "
"心海天誉府","盐田区","3室4室","83-128㎡","没有价格","轨交房 高绿化率 大阳台 双阳台 "
"珑湾时代公寓","宝安区","公寓","32-62㎡","43000","全景飘窗 装修交付 放松限购 低总价 "
"碧桂园·凤凰智谷","宝安区",,"168100㎡","34000","装修交付 低单价 "
"满京华云著雅庭","宝安区","3室","83-93㎡","没有价格","多轨交 轨交房 双阳台 主卧套房 "
"前海鸿荣源中心胤璞","南山区",,"520000㎡","没有价格","多轨交 轨交房 装修交付 "
"润樾山商铺","坪山区",,"180000㎡","33125","学校 放松限购 "
"宝昌利御景御峰公馆","龙岗区","1室2室3室4室","84-143㎡","41000","放松限购 "
"大悦城天玺公馆","宝安区",,"5149㎡","61000",
"华联城市中心1","南山区","公寓","33-60㎡","68800","车位充足 主卧套房 装修交付 卧室全朝南 "
"卓越前海壹号T1栋","南山区",,"524.47-665.14㎡","85000","多轨交 轨交房 "
"兆邦基IBO","罗湖区",,"55-323㎡","80000","多轨交 轨交房 装修交付 低总价 "
"招商臻府","宝安区","4室","118-156㎡","没有价格","多轨交 轨交房 大阳台 双卫生间 "
"京基御景珑庭写字楼","宝安区",,"56.21-99.3㎡","34063","放松限购 "
"越秀·和樾府","宝安区","2室3室","110-175㎡","100000","高绿化率 双阳台 主卧套房 卧室全朝南 "
"深业上城","福田区","公寓","358-470㎡","没有价格","轨交房 装修交付 学校 购物中心 "
"深业泰富广场","罗湖区","公寓","37.8-85.76㎡","65800","多轨交 轨交房 大阳台 装修交付 "
"佳兆业通达汇轩公寓","龙华区","公寓","29㎡","没有价格","轨交房 主卧套房 装修交付 卧室全朝南 "
"信城·缙山府","罗湖区","2室3室4室","93-192㎡","89800","多轨交 轨交房 双阳台 主卧套房 "
"侨城坊·树屋Tree house","南山区","公寓","89.32-113.63㎡","100000","轨交房 大阳台 双阳台 主卧套房 "
"广兴源·蓝湾","宝安区","公寓","88-112㎡","55000","轨交房 主卧套房 卧室全朝南 厨卫全明 "
"中粮祥云","龙岗区","公寓","53-88㎡","34000","轨交房 装修交付 学校 购物中心 "
"万科启城家园","龙华区","3室4室","79-112㎡","56600","一房一价 轨交房 主卧套房 装修交付 "
"星都梅沙天邸","盐田区","2室3室4室","60-145㎡","59800","轨交房 大阳台 双卫生间 双阳台 "
"富宏大亼汇","宝安区","公寓","40-422㎡","28000","轨交房 放松限购 低总价 低单价 "
"颐城栖湾里","南山区","3室4室","117-262㎡","102000","多轨交 轨交房 双阳台 主卧套房 "
"宝德云谷大厦","龙岗区","公寓","27.04-70.82㎡","34000","一房一价 装修交付 放松限购 低总价 "
"中海观园","光明区","3室4室5室","83-128㎡","47000","轨交房 高绿化率 主卧套房 大户型 "
"联发天境雅居","龙岗区","3室4室","89-112㎡","62322","一房一价 轨交房 高绿化率 主卧套房 "
"深业泰富广场写字楼","罗湖区",,"92-1475㎡","53000","多轨交 轨交房 购物中心 配套纯熟 "
"深铁置业大厦","福田区",,"150000㎡","73000","多轨交 轨交房 学校 购物中心 "
"太子湾·豫玺","南山区",,"126-199㎡","115000","装修交付 "
"大悦城·天玺壹号","宝安区",,"32.73-264.96㎡","115000","多轨交 轨交房 "
"华润置地公园九里","光明区",,"126000㎡","37000","轨交房 装修交付 放松限购 "
"龙光玖龙台","光明区","公寓","42-97.55㎡","没有价格","多轨交 轨交房 大阳台 双卫生间 "
"万科珑城原点","龙岗区",,"33.62-276.23㎡","没有价格","轨交房 放松限购 "
"水木一方国际公寓","南山区","公寓","252-262㎡","78000","多轨交 轨交房 装修交付 "
"新世界临海揽山公寓","南山区","公寓","94-229㎡","108800","车位充足 装修交付 "
"兆邦基端慧苑","光明区","2室3室","65-96㎡","没有价格","轨交房 大阳台 双阳台 主卧套房 "
"国速中心","罗湖区",,"129.15-258.16㎡","45000","看房津贴 多轨交 轨交房 装修交付 "
"和成嘉业","龙岗区","2室3室4室","92.62-140㎡","没有价格","多轨交 轨交房 车位充足 高绿化率 "
"启迪协信科技园写字楼","龙岗区",,"41-342.89㎡","31500","装修交付 放松限购 低总价 低单价 "
"宏发万悦山二期","光明区","2室3室4室","80-118㎡","51700","多轨交 轨交房 双阳台 主卧套房 "
"世茂广场","坪山区","公寓","35-57㎡","没有价格","车位充足 学校 购物中心 配套纯熟 "
"凯东吉祥悦府","龙岗区","3室","82㎡","没有价格","轨交房 车位充足 高绿化率 大阳台 "
"中粮云景广场","光明区",,"103-250㎡","21000","一房一价 多轨交 轨交房 卧室全朝南 "
"前海世茂大厦","南山区",,"600-2541㎡","80000","多轨交 轨交房 "
"万科深南道68号","罗湖区",,"183997㎡","62000","多轨交 轨交房 学校 购物中心 "
"恒荣立方中心","宝安区",,"1000㎡","57000","车位充足 学校 购物中心 配套纯熟 "
"满京华SOHO藝峦","宝安区",,"77203㎡","没有价格","学校 购物中心 配套纯熟 "
"宝能公馆 V HOUSE","福田区","公寓","73-140㎡","110000","大阳台 装修交付 卧室全朝南 学校 "
"鸿荣源·壹成中心璞誉府","龙华区","4室","144-180㎡","没有价格","轨交房 高绿化率 双阳台 主卧套房 "
"东津名座","坪山区","1室2室3室","45.32-81.18㎡","没有价格","多轨交 轨交房 学校 购物中心 "
"深圳湾1号","南山区","公寓","209-436㎡","没有价格","多轨交 轨交房 车位充足 学校 "
"绿景美景广场","南山区","公寓","48-96㎡","73000","一房一价 卧室全朝南 学校 购物中心 "
"合泰御景翠峰公寓","盐田区","公寓","260㎡","53000","轨交房 主卧套房 学校 配套纯熟 "
"深圳大悦城铂悦","宝安区","3室4室","106-132㎡","88600","一房一价 多轨交 轨交房 双阳台 "
"云科府","光明区","2室3室4室","92-189㎡","50050","一房一价 高绿化率 双卫生间 双阳台 "
"太子湾兰桂坊LKF852","南山区",,"23-337㎡","268000",
"万科云城","南山区",,"30.14-91.48㎡","没有价格","多轨交 轨交房 购物中心 配套纯熟 "
"塘朗城广场","南山区","3室4室公寓","31-140㎡","73000","轨交房 大阳台 双阳台 装修交付 "
"盈峯前海中心","宝安区",,"28700㎡","没有价格","多轨交 轨交房 学校 配套纯熟 "
"诺德阅山海","龙岗区","2室3室4室","86-185㎡","58200","一房一价 高绿化率 双卫生间 双阳台 "
"招商太子湾【官方】","南山区",,"370㎡","没有价格","多轨交 轨交房 装修交付 "
"深圳坪山国际影视文化城","坪山区","公寓","46.69-82.25㎡","没有价格","装修交付 卧室全朝南 放松限购 "
"璟悦轩","光明区","公寓","38-49㎡","43000","多轨交 轨交房 装修交付 卧室全朝南 "
"桃源商务大厦A座","宝安区",,"34379㎡","38500","轨交房 装修交付 学校 购物中心 "
"万科都会四季花园","宝安区","3室4室","75-115㎡","88000","双阳台 主卧套房 装修交付 卧室全朝南 "
"珑瑜","龙岗区","1室2室","33.19-57.51㎡","没有价格","多轨交 轨交房 学校 购物中心 "
"佳华领悦广场","坪山区","3室4室","82-114㎡","没有价格","多轨交 轨交房 高绿化率 主卧套房 "
"佳兆业盐田城市广场二期凌云","盐田区","4室","140㎡","没有价格","轨交房 双卫生间 双阳台 主卧套房 "
"新世界松风明月公寓","宝安区",,"186630㎡","没有价格","多轨交 轨交房 装修交付 放松限购 "
"双子湾","南山区",,"64-270㎡","98000","多轨交 轨交房 卧室全朝南 厨卫全明 "
"万科都会四季花园商铺","宝安区",,"273433㎡","147000",
"皇嘉珑府","龙华区","1室2室3室","60-113㎡","65000","多轨交 轨交房 双阳台 主卧套房 "
"龙城金地中心","龙岗区",,"74.08-76.19㎡","24000","轨交房 放松限购 "
"汇智研发中心","宝安区",,"309918㎡","没有价格",
"慧谷雅苑","龙华区","公寓","38.91-100㎡","35028","装修交付 购物中心 放松限购 "
"嘉鑫辉煌时代","福田区","公寓","46-68.53㎡","没有价格","多轨交 轨交房 装修交付 学校 "
"润科华府公寓","宝安区","公寓","48-67㎡","47000","轨交房 装修交付 学校 购物中心 "
"京基智农山海汇","宝安区",,"298878㎡","75000","装修交付 低单价 "
"中粮云景花园","光明区","2室","65.62-67.51㎡","没有价格","多轨交 轨交房 大阳台 双阳台 "
"招商中环·熙悦荟","罗湖区",,"60.62㎡","没有价格","多轨交 轨交房 卧室全朝南 厨卫全明 "
"阅山华府","龙岗区",,"110000㎡","45000","轨交房 装修交付 放松限购 "
"金信中心","宝安区","公寓","38-48㎡","31600","一房一价 学校 购物中心 配套纯熟 "
